Country,Region,Happiness_Score,Economy,Family,Health,Freedom,Generosity,Trust
Norway,Western Europe,7.53700018,1.61646318,1.53352356,0.7966665,0.63542259,0.36201224,0.31596383
Denmark,Western Europe,7.52199984,1.48238301,1.55112159,0.79256552,0.62600672,0.35528049,0.40077007
Iceland,Western Europe,7.50400019,1.48063302,1.61057401,0.83355212,0.62716264,0.47554022,0.15352656
Switzerland,Western Europe,7.49399996,1.56497955,1.51691175,0.85813129,0.62007058,0.29054928,0.36700729
Finland,Western Europe,7.46899986,1.44357193,1.54024673,0.80915767,0.61795086,0.24548277,0.38261154
Netherlands,Western Europe,7.37699986,1.50394464,1.42893922,0.81069613,0.58538449,0.47048983,0.28266183
Canada,North America,7.31599998,1.47920442,1.48134899,0.83455765,0.61110091,0.43553972,0.28737152
New Zealand,Australia and New Zealand,7.31400013,1.40570605,1.54819512,0.81675971,0.61406213,0.50000513,0.3828167
Sweden,Western Europe,7.28399992,1.49438727,1.47816217,0.83087516,0.6129241,0.38539925,0.38439873
Australia,Australia and New Zealand,7.28399992,1.48441494,1.51004195,0.84388679,0.60160738,0.47769925,0.30118373
Israel,Middle East and Northern Africa,7.21299982,1.37538242,1.37628996,0.838404,0.4059886,0.33008265,0.0852421
Costa Rica,Latin America and Caribbean,7.079,1.10970628,1.41640365,0.75950927,0.58013165,0.21461323,0.10010659
Austria,Western Europe,7.00600004,1.48709726,1.45994496,0.81532842,0.56776619,0.31647232,0.22106037
United States,North America,6.99300003,1.54625928,1.41992056,0.77428663,0.50574052,0.39257878,0.13563879
Ireland,Western Europe,6.97700024,1.53570664,1.55823112,0.80978262,0.57311034,0.42785832,0.29838815
Germany,Western Europe,6.95100021,1.48792338,1.47252035,0.79895073,0.56251138,0.33626917,0.27673194
Belgium,Western Europe,6.89099979,1.46378076,1.4623127,0.81809187,0.53977072,0.23150334,0.25134313
Luxembourg,Western Europe,6.86299992,1.7419436,1.45758367,0.8450895,0.59662789,0.28318098,0.31883442
United Kingdom,Western Europe,6.71400023,1.44163394,1.49646008,0.80533594,0.50819004,0.49277416,0.26542807
Chile,Latin America and Caribbean,6.65199995,1.25278461,1.28402495,0.8194797,0.37689528,0.32666242,0.08228798
United Arab Emirates,Middle East and Northern Africa,6.64799976,1.62634337,1.26641023,0.72679824,0.60834527,0.36094195,0.32448956
Brazil,Latin America and Caribbean,6.63500023,1.10735321,1.431306,0.61655235,0.43745375,0.16234989,0.11109276
Czech Republic,Central and Eastern Europe,6.60900021,1.35268235,1.43388522,0.754444,0.49094617,0.08810676,0.03687293
Argentina,Latin America and Caribbean,6.59899998,1.18529546,1.44045115,0.69513708,0.4945192,0.10945706,0.05973989
Mexico,Latin America and Caribbean,6.57800007,1.15318382,1.21086216,0.709979,0.41273001,0.12099043,0.13277411
Singapore,Southeastern Asia,6.57200003,1.69227767,1.35381436,0.94949239,0.54984057,0.34596598,0.46430779
Malta,Western Europe,6.52699995,1.34327984,1.48841166,0.82194424,0.58876705,0.57473058,0.15306607
Uruguay,Latin America and Caribbean,6.454,1.2175597,1.41222787,0.71921682,0.57939225,0.17509693,0.17806187
Guatemala,Latin America and Caribbean,6.454,0.87200195,1.25558519,0.54023999,0.53131062,0.28348839,0.07722328
Panama,Latin America and Caribbean,6.45200014,1.23374844,1.37319255,0.70615613,0.55002683,0.21055694,0.07098392
France,Western Europe,6.44199991,1.43092346,1.38777685,0.84446585,0.47022212,0.12976231,0.17250243
Thailand,Southeastern Asia,6.42399979,1.12786877,1.42579246,0.64723903,0.58020073,0.57212311,0.03161274
Taiwan Province of China,Eastern Asia,6.42199993,1.43362653,1.38456535,0.79398423,0.36146659,0.25836048,0.06382924
Spain,Western Europe,6.40299988,1.38439786,1.5320909,0.8889606,0.40878123,0.19013357,0.0709141
Qatar,Middle East and Northern Africa,6.375,1.87076569,1.27429688,0.71009809,0.60413098,0.33047387,0.43929926
Colombia,Latin America and Caribbean,6.35699987,1.07062232,1.40218294,0.59502792,0.47748742,0.14901447,0.04666874
