airline,GDP,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aer Lingus,0,2,0,0,0,0,0
Aeroflot,0,76,14,128,6,1,88
Aerolineas Argentinas,0,6,0,0,1,0,0
Aeromexico,0,3,1,64,5,0,0
Air Canada,1,2,0,0,2,0,0
Air France,1,14,4,79,6,2,337
Air India,0,2,1,329,4,1,158
Air New Zealand,1,3,0,0,5,1,7
Alaska Airlines,1,5,0,0,5,1,88
Alitalia,1,7,2,50,4,0,0
All Nippon Airways,1,3,1,1,7,0,0
American,1,21,5,101,17,3,416
Austrian Airlines,1,1,0,0,1,0,0
Avianca,0,5,3,323,0,0,0
British Airways,1,4,0,0,6,0,0
Cathay Pacific,1,0,0,0,2,0,0
China Airlines,1,12,6,535,2,1,225
Condor,1,2,1,16,0,0,0
COPA,0,3,1,47,0,0,0
Delta / Northwest,1,24,12,407,24,2,51
Egyptair,0,8,3,282,4,1,14
El Al,1,1,1,4,1,0,0
Ethiopian Airlines,0,25,5,167,5,2,92
Finnair,1,1,0,0,0,0,0
Garuda Indonesia,0,10,3,260,4,2,22
Gulf Air,0,1,0,0,3,1,143
Hawaiian Airlines,1,0,0,0,1,0,0
Iberia,1,4,1,148,5,0,0
Japan Airlines,1,3,1,520,0,0,0
Kenya Airways,0,2,0,0,2,2,283
KLM,1,7,1,3,1,0,0
Korean Air,0,12,5,425,1,0,0
LAN Airlines,0,3,2,21,0,0,0
Lufthansa,1,6,1,2,3,0,0
Malaysia Airlines,0,3,1,34,3,2,537
Pakistan International,0,8,3,234,10,2,46
Philippine Airlines,0,7,4,74,2,1,1
Qantas,1,1,0,0,5,0,0
Royal Air Maroc,0,5,3,51,3,0,0
SAS,0,5,0,0,6,1,110
Saudi Arabian,0,7,2,313,11,0,0
Singapore Airlines,1,2,2,6,2,1,83
South African,0,2,1,159,1,0,0
Southwest Airlines,1,1,0,0,8,0,0
Sri Lankan / AirLanka,0,2,1,14,4,0,0
SWISS,1,2,1,229,3,0,0
TACA,0,3,1,3,1,1,3
TAM,0,8,3,98,7,2,188
TAP - Air Portugal,1,0,0,0,0,0,0
Thai Airways,0,8,4,308,2,1,1
Turkish Airlines,0,8,3,64,8,2,84
United / Continental,1,19,8,319,14,2,109
US Airways / America West,1,16,7,224,11,2,23
Vietnam Airlines,0,7,3,171,1,0,0
Virgin Atlantic,1,1,0,0,0,0,0
Xiamen Airlines,0,9,1,82,2,0,0
